,영화명,before,after
605,아이 필 프리티,769건,113건
606,치즈인더트랩,"52,907건",856건
607,12 솔져스,408건,77건
608,1급기밀,"8,738건",319건
609,50가지 그림자: 해방,461건,75건
610,허리케인 하이스트,337건,140건
611,한 솔로: 스타워즈 스토리,"1,710건",278건
612,콜 미 바이 유어 네임,"2,412건",162건
613,나미야 잡화점의 기적,"4,725건",138건
614,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,125건,32건
615,유전,"747,617건","1,613건"
616,허스토리,"10,383건",636건
617,미드나잇 선,"3,760건",105건
618,다운사이징,"18,451건",202건
619,나를 기억해,"721,630건","2,550건"
620,더 포스트,"349,124건","1,504건"
621,시카리오: 데이 오브 솔다도,574건,151건
622,얼리맨,478건,146건
623,"안녕, 나의 소녀","8,610건",149건
624,당갈,"1,012건",161건
625,레드 스패로,376건,96건
626,게이트,"521,152건",850건
627,미니특공대X,502건,14건
628,레이디 버드,"2,290건",91건
629,쓰리 빌보드,"1,500건",108건
630,마야2,"24,585건",49건
631,커다랗고 커다랗고 커다란 배,276건,60건
632,여중생A,"26,755건",265건
633,플로리다 프로젝트,"6,151건",93건
634,올 더 머니,"61,216건",189건
635,레오나르도 다 빈치,"3,469건",60건
636,번개맨과 신비의 섬,96건,15건
637,소공녀,"6,595건",178건
638,매직빈,473건,57건
639,"부르고뉴, 와인에서 찾은 인생",269건,28건
640,머니백,"2,696건",193건
641,젝스키스 에이틴,344건,22건
642,살인소설,"49,667건",523건
643,데자뷰,"16,221건",223건
644,온리 더 브레이브,391건,31건
645,비밥바룰라,"2,038건",174건
646,"스탠바이, 웬디",267건,81건
647,더 포리너,326건,35건
648,정글번치: 최강 악당의 등장,32건,13건
649,다키스트 아워,903건,51건
650,반딧불이 딘딘,59건,10건
651,아일라,"2,475건",92건
652,벅스 프렌즈,717건,29건
653,패터슨,"15,247건",40건
654,스파키,823건,21건
655,신과함께-인과 연,"18,992건","1,985건"
656,보헤미안 랩소디,"20,414건",757건
657,미션 임파서블: 폴아웃,"6,549건",842건
658,앤트맨과 와스프,"5,447건",908건
659,안시성,"19,038건","1,899건"
660,완벽한 타인,"36,535건","1,077건"
661,공작,"347,618건","2,565건"
662,베놈,"5,605건",739건
663,암수살인,"11,471건","1,054건"
664,국가부도의 날,"18,527건","1,254건"
665,아쿠아맨,"9,328건",871건
666,인크레더블 2,"8,398건",584건
667,서치,"53,754건",558건
668,너의 결혼식,"41,615건",996건
