,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
10,마다가스카3 : 이번엔 서커스다!,2012-06-06,10864569500,0.017,10864569500,1392049,1392049,564,28666,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디","에릭 다넬,톰 맥그라스,콘래드 베논","벤 스틸러,크리스 록,데이빗 쉼머,제이다 핀켓 스미스,프란시스 맥도먼드","벤 스틸러, 크리스 록, 데이빗 쉼머",2012,True,1390190
11,은교,2012-04-25,9917728000,0.015,9917728000,1346274,1346274,521,41679,한국,한국,"정지우 필름,㈜렛츠필름",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,멜로/로맨스,정지우,"박해일,김무열,김고은,이후빈,임민경,김재준,정만식,안민영,강덕중","박해일, 김무열, 김고은",2012,True,1346274
12,돈의 맛,2012-05-17,8780122611,0.013999999999999999,8780122611,1166011,1166011,643,36919,한국,"한국,필리핀",휠므빠말주식회사,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",청소년관람불가,드라마,임상수,"김강우,백윤식,윤여정,김효진,온주완,권병길,황정민,양재준,김응수,정원중,갈소원","김강우, 백윤식, 윤여정",2012,True,1165481
13,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,0.015,9784305000,1149628,1149628,398,27236,미국,미국,,워너브러더스 코리아(주),전체관람가,"액션,어드벤처",브래드 페이튼,"드웨인 존슨,마이클 케인,조쉬 허처슨,바네사 허진스","드웨인 존슨, 마이클 케인, 조쉬 허처슨",2012,True,1149628
14,점박이:한반도의 공룡3D,2012-01-26,9621468000,0.015,9621468000,1040636,1040636,457,21843,한국,한국,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,액션",한상호,"이형석,신용우,구자형","이형석, 신용우, 구자형",2012,True,1040636
15,프로메테우스,2012-06-06,8554125599,0.013000000000000001,8554125599,965355,965355,521,31340,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"SF,스릴러",리들리 스콧,"누미 라파스,마이클 패스벤더,샤를리즈 테론,가이 피어스,이드리스 엘바","누미 라파스, 마이클 패스벤더, 샤를리즈 테론",2012,True,964148
16,셜록홈즈 : 그림자 게임,2011-12-21,7168608500,0.011000000000000001,16670913500,949299,2239156,360,25140,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,미스터리",가이 리치,"로버트 다우니 주니어,주드 로",,2011,True,949299
17,존 카터: 바숨 전쟁의 서막,2012-03-08,7229870500,0.011000000000000001,7229870500,838126,838126,508,30760,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"SF,액션",앤드류 스탠튼,"테일러 키치,린 콜린스,윌렘 데포,사만다 모튼","테일러 키치, 린 콜린스, 윌렘 데포",2012,True,837426
18,퍼펙트 게임,2011-12-21,5224000500,0.008,11220408500,695312,1507084,396,21284,한국,한국,"(주)동아수출공사,밀리언 스토리,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,박희곤,"조승우,양동근,최정원,임지훈,김동희,허형규,박용규,신준호,최지훈,조찬형,차현우,한준혁,박정수,박정식,박현용,안준석,안태운,권승현,주아영,김기홍,이만규,서상화,문용식,문종헌,이명자,장원석,민정기,원희,최대영,곽병민,이상하,곽중훈,최민철,윤상일,최상호,김성태,구종률,이선진,이성수,오성진,김창후,박수진,박수환,최용규,최은,김우상,김지만,조진웅,장경아,김병옥,손병호,신현종,오정세,이병준,나윤성,최일화,공정환,최원영,김영민,박서준","조승우, 양동근, 최정원",2011,True,695312
19,스노우 화이트 앤 더 헌츠맨,2012-05-30,4645167000,0.006999999999999999,4645167000,636477,636477,447,20643,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",루퍼트 샌더스,"샤를리즈 테론,크리스틴 스튜어트,크리스 헴스워스","샤를리즈 테론, 크리스틴 스튜어트, 크리스 헴스워스",2012,True,636477
20,헝거게임: 판엠의 불꽃,2012-04-05,4478418000,0.006999999999999999,4478418000,607956,607956,514,24924,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,SF",게리 로스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,엘리자베스 뱅크스","제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스",2012,True,606531
21,백설공주,2012-05-03,4097396000,0.006,4097396000,585473,585473,386,20746,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"판타지,어드벤처",타셈 싱,"줄리아 로버츠,릴리 콜린스,아미 해머","줄리아 로버츠, 릴리 콜린스, 아미 해머",2012,True,576150
22,다크 섀도우,2012-05-10,4326459000,0.006999999999999999,4326459000,582126,582126,394,18978,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"드라마,공포(호러),스릴러,미스터리",팀 버튼,"조니 뎁,미셀 파이퍼,에바 그린","조니 뎁, 미셀 파이퍼, 에바 그린",2012,True,582126
23,마이 웨이,2011-12-21,4181348000,0.006999999999999999,15995187000,556628,2142670,588,22546,한국,"한국,일본,중국",(주)디렉터스,"에스케이플래닛(주),씨제이이앤엠(주)",15세이상관람가,"전쟁,액션,드라마",강제규,"장동건,오다기리 조,판빙빙,강남현,조동혁,김효연,김홍근,신승훈,홍서백,김희원,최지우,도지한,이건우,최태정,박태성,이광기,한경석,한정욱,서종철,김대현,이문호,유미진,이호연,이상협,이확광,곽진석,곽호선,권문철,이홍섭,최우수,오태경,양진석,이창욱,이학렬,이현희,이재희,최상준,한승현,이동훈,김시후,김인우,성유빈,정종열","장동건, 오다기리 조, 판빙빙",2011,True,556580
24,크로니클,2012-03-15,2884776000,0.004,2884776000,384398,384398,324,20957,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,스릴러",조쉬 트랭크,"데인 드한,알렉스 러셀,마이클 B. 조던,애슐리 힌쇼","데인 드한, 알렉스 러셀, 마이클 B. 조던",2012,True,383862
25,프렌즈: 몬스터섬의비밀,2011-12-29,2668476500,0.004,3754760000,364732,512549,290,10153,일본,일본,,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",전체관람가,"애니메이션,어드벤처",야마자키 타카시,"이장원,엄상현,김서영,윤세웅,카토리 싱고,야마데라 코이치,신도 유나,아베 사다오","이장원, 엄상현, 김서영",2011,True,363179
26,로렉스,2012-05-03,2151848000,0.003,2151848000,298366,298366,463,7814,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"크리스 리노드,카일 발다","대니 드비토,잭 에프런,에드 헬름스,베티 화이트,롭 리글","대니 드비토, 잭 에프런, 에드 헬름스",2012,True,297025
27,코알라 키드 : 영웅의 탄생,2012-01-12,1434535500,0.002,1439227500,205579,206344,234,6761,한국,"한국,미국","㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,이경호,"태민,써니,윤다훈,최정현","태민, 써니, 윤다훈",2012,True,205579
28,해피 피트 2,2012-02-02,1463939000,0.002,1463939000,185744,185744,315,7802,호주,호주,,워너브러더스 코리아(주),전체관람가,"애니메이션,코미디,가족",조지 밀러,"일라이저 우드,핑크,로빈 윌리엄스,엘리자베스 데일리,브래드 피트,맷 데이먼","일라이저 우드, 핑크, 로빈 윌리엄스",2012,True,185420
29,세이프 하우스,2012-02-29,1223151500,0.002,1223151500,163729,163729,292,10800,미국,"미국,남아프리카공화국",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",다니엘 에스피노사,"덴젤 워싱턴,라이언 레이놀즈",,2012,True,163729
30,우먼 인 블랙,2012-02-16,862144800,0.001,862144800,117188,117188,237,7084,영국,영국,,"(주)넥스트엔터테인먼트월드(NEW),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",15세이상관람가,"드라마,공포(호러),스릴러",제임스 왓킨스,"다니엘 래드클리프,시아란 힌즈,자넷 맥티어","다니엘 래드클리프, 시아란 힌즈, 자넷 맥티어",2012,True,117188
31,워 호스,2012-02-09,734302500,0.001,734302500,102195,102195,229,5947,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"전쟁,드라마",스티븐 스필버그,"제레미 어바인,베네딕트 컴버배치,에밀리 왓슨,피터 뮬란","제레미 어바인, 베네딕트 컴버배치, 에밀리 왓슨",2012,True,102195
32,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,654481500,0.001,2383792000,98014,359771,186,2790,일본,일본,,씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",유야마 쿠니히코,"미즈키 나나,마츠모토 리카",,2011,True,98014
33,인류멸망 보고서,2012-04-11,704635000,0.001,704635000,97916,97916,236,9556,한국,한국,지오엔터테인먼트,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",15세이상관람가,SF,김지운,"류승범,김강우,송새벽,송영창,김규리,고준희,진지희,류승수,윤세아,조윤희,임근호,임형주,정우,최덕문,윤제문,김뢰하,이칸희,김무열,이영은","류승범, 김강우, 송새벽",2012,True,97555
34,초한지 - 천하대전,2012-01-11,710375000,0.001,710375000,94652,94652,167,3863,중국,"중국,홍콩",,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),12세이상관람가,액션,이인항,"여명,유역비,풍소봉,장한위,황추생,안지걸,진소춘","여명, 유역비, 풍소봉",2012,True,94652
35,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,2011-12-22,528197000,0.001,1998356500,76642,293895,175,2273,일본,일본,,씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",유야마 쿠니히코,"마츠모토 리카,츠루노 타케시,타카하시 히데키,미즈키 나나","마츠모토 리카, 츠루노 타케시, 타카하시 히데키",2011,True,76642
36,앨빈과 슈퍼밴드3,2011-12-15,485263000,0.001,3764908000,73590,570150,169,2146,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,코미디,어드벤처,가족",마이크 미첼,"저스틴 롱,제이슨 리,매튜 그레이 구블러,제시 맥카트니","저스틴 롱, 제이슨 리, 매튜 그레이 구블러",2011,True,73213
37,휴고,2012-02-29,637621000,0.001,637621000,60520,60520,85,2328,미국,미국,,씨제이이앤엠(주),전체관람가,가족,마틴 스코세이지,"에이사 버터필드,클로이 모레츠",,2012,True,60520
38,디센던트,2012-02-16,407991800,0.001,407991800,53103,53103,114,2429,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"코미디,드라마",알렉산더 페인,"조지 클루니,주디 그리어",,2012,True,53103
39,콘트라밴드,2012-03-22,393549500,0.001,393549500,52743,52743,178,5518,미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"액션,스릴러",발타자르 코루마쿠르,"마크 월버그,케이트 베킨세일",,2012,True,52743
40,두레소리,2012-05-10,232773000,0.0,232815500,35040,35054,132,2615,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)명필름,12세이상관람가,드라마,조정래,"김슬기,조아름,함현상,이혜진,임하늬,전성배,정영진,권혁란,조정래,하늘벗,방양수,신성우","김슬기, 조아름, 함현상",2012,True,17076
41,다른나라에서,2012-05-31,221726700,0.0,221726700,28638,28638,35,1763,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)영화사 조제",청소년관람불가,드라마,홍상수,"이자벨 위페르,유준상,정유미,윤여정,문성근,권해효,문소리","이자벨 위페르, 유준상, 정유미",2012,True,28638
42,I AM,2012-06-21,204585000,0.0,204585000,27325,27325,137,2073,한국,한국,"씨제이이앤엠(주),(주)에스엠엔터테인먼트",씨제이이앤엠(주),전체관람가,다큐멘터리,최진성,"정윤호,심창민,서현,최수영","정윤호, 심창민, 서현",2012,True,27305
43,머신건 프리처,2012-05-24,197290500,0.0,197290500,26630,26630,141,2147,미국,미국,,(주)팝파트너스,15세이상관람가,"액션,드라마,범죄",마크 포스터,"제라드 버틀러,미셸 모나한,마이클 섀넌,매들린 캐롤","제라드 버틀러, 미셸 모나한, 마이클 섀넌",2012,True,26630
44,진짜로 일어날지도 몰라 기적,2011-12-22,207048400,0.0,320012400,26416,41339,23,1019,일본,일본,,(주)미로비젼,전체관람가,드라마,고레에다 히로카즈,오다기리 조,,2011,True,26249
45,"봄, 눈",2012-04-26,139918000,0.0,139918000,21075,21075,118,2175,한국,한국,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,김태균,"윤석화,임지규,이경영,김하진,심이영,조정원,김두루,김란흔,허정임,이상백,김혜성,유재영,유형균,윤재묵,김영옥,정은채","윤석화, 임지규, 이경영",2012,True,21075
46,마릴린 먼로와 함께한 일주일,2012-02-29,148370000,0.0,148370000,19387,19387,81,1652,영국,"영국,미국",,(주)싸이더스,15세이상관람가,드라마,사이먼 커티스,"미쉘 윌리엄스,에디 레드메인",,2012,True,19387
47,볼츠와 블립,2012-02-23,162954000,0.0,162954000,15937,15937,61,735,한국,한국,"(주)레드로버,툰박스 엔터테인먼트",씨제이이앤엠(주),전체관람가,"애니메이션,코미디,어드벤처",피터 레페니오티스,"김일,최정호",,2012,True,15386
48,블루 발렌타인,2012-05-31,105080500,0.0,105080500,13558,13558,15,549,미국,미국,,(주)영화사 진진,청소년관람불가,"드라마,멜로/로맨스",데릭 시엔프랜스,"라이언 고슬링,미쉘 윌리엄스",,2012,True,13558
49,틴틴 : 유니콘호의 비밀,2011-12-07,91036000,0.0,6737564500,12735,815991,56,493,미국,"미국,뉴질랜드,벨기에",,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,가족,어드벤처",스티븐 스필버그,"제이미 벨,앤디 서키스,다니엘 크레이그,사이먼 페그","제이미 벨, 앤디 서키스, 다니엘 크레이그",2011,True,12735
50,금의위 : 14 검의 비밀,2012-06-14,59263000,0.0,59263000,8589,8589,42,639,홍콩,"홍콩,중국",,(주)팝파트너스,15세이상관람가,"액션,드라마",이인항,"견자단,조미,홍금보,오존","견자단, 조미, 홍금보",2012,True,8589
51,아버지를 위한 노래,2012-05-03,29858000,0.0,31970000,3749,4005,2,84,이탈리아,"이탈리아,프랑스,아일랜드",,(주)쇼박스,12세이상관람가,"범죄,드라마,스릴러",파올로 소렌티노,"숀 펜,프란시스 맥도먼드,주드 허쉬","숀 펜, 프란시스 맥도먼드, 주드 허쉬",2012,True,3594
52,베스트 엑조틱 메리골드 호텔,2012-07-12,21326000,0.0,21326000,3029,3029,12,18,영국,영국,,이십세기폭스코리아(주),15세이상관람가,"코미디,드라마",존 매든,"주디 덴치,빌 나이히,톰 윌킨슨,매기 스미스,셀리아 아임리,데브 파텔","주디 덴치, 빌 나이히, 톰 윌킨슨",2012,True,53555
53,브레이킹 던 part1,2011-11-30,21299000,0.0,10713863000,2831,1462280,7,111,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,판타지,멜로/로맨스",빌 콘돈,"로버트 패틴슨,크리스틴 스튜어트",,2011,True,2831
54,연가시,2012-07-05,20634000,0.0,20634000,2807,2807,5,20,한국,한국,(주)오죤필름,씨제이이앤엠(주),15세이상관람가,"공포(호러),SF",박정우,"김명민,강지원,문정희,김동완,이하늬,강신일,최일화,이행춘,장형원,정경임,최동헌,김상오,최정수,박유정,황경호,이민수,이은채,박종원,박진영,서병덕,송광주,신상열,안용우,이나연,이동하,이주원,송영창,조덕현,최정우,전국환,주석태,김승훈,정인기,김태훈","김명민, 강지원, 문정희",2012,True,4513026
55,단델리온 더스트,2012-05-10,18539000,0.0,18539000,2794,2794,31,445,미국,미국,,주식회사 마운틴픽쳐스,12세이상관람가,"드라마,가족",존 건,"미라 소르비노,배리 페퍼,콜 하우저,케이트 리버링,맥스웰 페리 코튼","미라 소르비노, 배리 페퍼, 콜 하우저",2012,True,2568
56,천국의 아이들,2012-05-24,12738000,0.0,12738000,2106,2106,8,161,한국,한국,"서울시 교육청,(주)인벤트스톤,(주)노마드필름",(주)미로비젼,12세이상관람가,드라마,박흥식,"유다인,박지빈,김보라,임성호,조정호,김도연,이민주,이연호,김진태,이주신,박현우,송지선,신동진,안선영,우보경,윤상윤,신동환,천인서","유다인, 박지빈, 김보라",2012,True,2106
57,뉴타입 히어로 얏타맨,2012-06-21,12461500,0.0,12461500,1968,1968,39,205,일본,일본,,예지림엔터테인먼트,전체관람가,애니메이션,"히시다 마사카즈,사사가와 히로시",,,2012,True,1968
58,슈퍼스타,2012-06-07,10904400,0.0,10904400,1503,1503,18,313,한국,한국,스토리룸,주식회사 마운틴픽쳐스,15세이상관람가,"코미디,드라마",임진순,"송삼동,김정태,이형석,장백호,공태원,전찬영,차상균,최명완,한여울,함주영,김정환,윤선명,장경아","송삼동, 김정태, 이형석",2012,True,1396
59,머펫 대소동,2012-05-18,12375000,0.0,12375000,1495,1495,1,17,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,"코미디,가족,뮤지컬",제임스 보빈,에이미 아담스,,2012,True,1495
60,아더 크리스마스,2011-11-25,8601500,0.0,4779642000,1291,622286,4,81,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,"애니메이션,가족",베리 쿡,"빌 나이히,휴 로리,짐 브로드벤트,제임스 맥어보이","빌 나이히, 휴 로리, 짐 브로드벤트",2011,True,1291
61,50/50,2011-11-24,9960000,0.0,1029728500,1220,137205,7,58,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,드라마",조나단 레빈,"조셉 고든 레빗,세스 로건",,2011,True,1220
62,완득이,2011-10-20,5345000,0.0,38531506500,1048,5310976,5,77,한국,한국,"(주)유비유필름,어나더픽쳐스(주)",씨제이이앤엠(주),12세이상관람가,드라마,이한,"김윤석,유아인,김효숙,조병찬,조세현,정한진,강별,박효주,박종현,박진아,서대현,서왕석,김광섭,차선영,천영암,최명경,윤경호,전승엽,임정환,오희준,김신우,이경숙,이유나,이태영,김영재,조덕제,조상건,안길강,김상호,리우진,성유빈,박수영,김도영,김동영,신유람,김윤태","김윤석, 유아인, 김효숙",2011,True,582
63,돼지의 왕,2011-11-03,6853000,0.0,150974300,947,19550,3,73,한국,한국,"주식회사 다다쇼,돼지의 왕 제작위원회",KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),청소년관람불가,"애니메이션,스릴러",연상호,"김꽃비,김혜나,박희본,오정세,양익준,경순,연상호,허지웅,조영각,조영각,조영빈,김민찬,하명석,최규석,오승준,정인기","김꽃비, 김혜나, 박희본",2011,True,737
64,송곳니,2012-01-05,6772800,0.0,6772800,932,932,4,71,그리스,그리스,,(주)컴퍼니엘,청소년관람불가,"코미디,드라마",요르고스 란티모스,"크리스토스 스테르기오글루,미셸 발리",,2012,True,932
65,퍼스트 그레이더,2012-05-17,6197000,0.0,6197000,878,878,6,85,영국,"영국,미국,케냐",,골든타이드픽처스(주),12세이상관람가,드라마,저스틴 채드윅,"나오미 해리스,올리버 리톤도,샘 푸어","나오미 해리스, 올리버 리톤도, 샘 푸어",2012,True,878
66,청춘그루브,2012-03-15,6922500,0.0,6922500,864,864,5,57,한국,한국,(주)다세포클럽,"(주)두타연,(주)미디어데이",15세이상관람가,드라마,변성현,"봉태규,이영훈,곽지민,이재원,임효라,장민철,구본웅,조민식,한경탁,홍희연,이연수,이영민,박종근,변성현,신근철,라미란,이영란,김동영,정지안","봉태규, 이영훈, 곽지민",2012,True,864
67,북촌방향,2011-09-08,5588500,0.0,365477200,727,45693,2,36,한국,한국,(주)영화제작전원사,(주)영화제작전원사,청소년관람불가,드라마,홍상수,"김보경,김상중,유준상,송선미,김의성,백종학,박수민,정지형,배유람,안재홍,기주봉,백현진","김보경, 김상중, 유준상",2011,True,594
68,리미트리스,2012-07-12,3438000,0.0,3438000,624,624,1,3,미국,미국,,팝엔터테인먼트,15세이상관람가,"미스터리,스릴러,액션",닐 버거,"브래들리 쿠퍼,애비 코니시,로버트 드 니로","브래들리 쿠퍼, 애비 코니시, 로버트 드 니로",2012,True,120914
69,량강도 아이들,2011-11-17,4404000,0.0,70547000,579,10480,11,108,한국,한국,(주)영화사샘,(주)영화사샘,전체관람가,"코미디,가족,드라마","김성훈,정성산","김환영,장남열,주혜리,이충훈,신민규,주민수,류종화,유윤상,조영호,조은아,이석민,최승철,임대희,이한승,유순철,이칸희,김정영","김환영, 장남열, 주혜리",2011,True,579
70,마당을 나온 암탉,2011-07-28,2058500,0.0,14670284500,524,2201797,4,44,한국,한국,"(주)오돌또기 ,(주)명필름",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,민성아","문소리,박철민,최민식,유승호,홍윤정,김한솔","문소리, 박철민, 최민식",2011,True,449
71,환상의 빛,2016-07-07,1557000,0.0,3683200,267,599,1,2,일본,일본,,주식회사 씨네룩스,15세이상관람가,드라마,고레에다 히로카즈,"마키코 에수미,나이토 타카시,아사노 타다노부","마키코 에수미, 나이토 타카시, 아사노 타다노부",2016,True,17823
72,별을 쫓는 아이,2011-08-25,1760000,0.0,377278500,202,52699,1,3,일본,일본,,"(주)박수엔터테인먼트,에이원엔터테인먼트",전체관람가,애니메이션,신카이 마코토,,,2011,True,11
73,락 앤 러브,2012-08-30,713800,0.0,713800,90,90,1,3,영국,영국,,판씨네마(주),15세이상관람가,코미디,데이빗 맥킨지,"루크 트레더웨이,나탈리아 테나",,2012,True,1099
74,굿바이 홈런,2013-02-14,383000,0.0,623500,77,143,1,4,한국,한국,소울다큐,시네마달,전체관람가,다큐멘터리,이정호,"원주고등학교 야구부,하미연",,2013,True,2057
75,끝과 시작,2013-04-04,632000,0.0,632000,75,75,1,2,한국,한국,"(주)수필름,데이지엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마",민규동,"엄정화,황정민,김효진","엄정화, 황정민, 김효진",2013,True,38432
76,비지터,2012-11-08,526000,0.0,5256500,69,564,1,4,미국,미국,,프리비젼엔터테인먼트,전체관람가,"드라마,코미디",토마스 맥카시,"리차드 젠킨스,하즈 슬레이만,다네이 거라이라,히암 압바스","리차드 젠킨스, 하즈 슬레이만, 다네이 거라이라",2012,True,10835
77,극장판 테니스의 왕자 : 영국식 테니스성 결전,2011-12-15,389000,0.0,13521000,48,1842,2,2,일본,일본,,(주)미디어데이,12세이상관람가,애니메이션,타다 슌스케,,,2011,True,48
78,조지 해리슨,2012-07-19,376000,0.0,376000,47,47,1,1,미국,미국,,(주)영화사 조제,12세이상관람가,다큐멘터리,마틴 스코세이지,"조지 해리슨,폴 매카트니,링고 스타,테리 길리엄","조지 해리슨, 폴 매카트니, 링고 스타",2012,True,3737
79,"구름의 저편, 약속의 장소",2017-02-28,274500,0.0,274500,32,32,1,1,일본,일본,,(주)삼지애니메이션,12세이상관람가,"애니메이션,드라마",신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카","하기와라 마사토, 난리 유카, 요시오카 히데타카",2017,True,4105
80,도둑들,2012-07-25,93664808500,0.115,93664808500,12983178,12983178,1091,155392,한국,"한국,홍콩",(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,범죄",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,서영주,장동,장현문,정윤헌,조상원,한규석,홍원기,김영민,최덕문,최진호,장준녕(장남부),예수정,김영웅,이은채,손병욱","김윤석, 김혜수, 이정재",2012,True,12983178
81,"광해, 왕이 된 남자",2012-09-13,88899448769,0.109,88899448769,12319390,12319390,1001,203400,한국,한국,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"사극,드라마",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱,이봉련,허성태,이양희,전국향,김승훈,권은수,승의열,김비비,한이진","이병헌, 류승룡, 한효주",2012,True,12319390
82,늑대소년,2012-10-31,46590107000,0.057,46590107000,6654390,6654390,854,109069,한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수,김승훈,구교환,이민웅,남정희,정인겸","송중기, 박보영, 장영남",2012,True,6654390
83,다크 나이트 라이즈,2012-07-19,47644838000,0.059000000000000004,47644838000,6396528,6396528,1210,81254,미국,"미국,영국",,워너브러더스 코리아(주),15세이상관람가,"액션,범죄,스릴러",크리스토퍼 놀란,"크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗","크리스찬 베일, 게리 올드만, 앤 해서웨이",2012,True,6396528
84,레미제라블,2012-12-19,23428605500,0.028999999999999998,23428605500,3210107,3210107,696,33153,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터","휴 잭맨, 러셀 크로우, 앤 해서웨이",2012,True,3210107
85,26년,2012-11-29,21111878145,0.026000000000000002,21111878145,2940475,2940475,611,50044,한국,한국,영화사청어람(주),"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,"액션,드라마",조근현,"진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤,김태준,김기천,이상훈,정희태,한사명,박서연","진구, 한혜진, 임슬옹",2012,True,2940475
86,내가 살인범이다,2012-11-08,20392266000,0.025,20392266000,2729798,2729798,547,58409,한국,한국,"(주)다세포클럽,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,스릴러",정병길,"정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성,이상문,박윤호,이용희,박규범,백동현,서강호,오병호,유희원,윤봉철,배성우,손종학,한제인,최희진,장광,조은지,이봉련,백현주,류제승,김종구,차청화,한사명,남정희,김민상,김자금","정재영, 박시후, 최원영",2012,True,2721893
87,브레이킹 던 part2,2012-11-15,18909583065,0.023,18909583065,2654817,2654817,665,56995,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,판타지,멜로/로맨스",빌 콘돈,"크리스틴 스튜어트,로버트 패틴슨,테일러 로트너,다코타 패닝","크리스틴 스튜어트, 로버트 패틴슨, 테일러 로트너",2012,True,2654817
88,호빗: 뜻밖의 여정,2012-12-13,21724069066,0.027000000000000003,21724069066,2605124,2605124,1028,44977,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,크리스토퍼 리,일라이저 우드,앤디 서키스,휴고 위빙,베네딕트 컴버배치","마틴 프리먼, 이안 맥켈런, 리차드 아미티지",2012,True,2605124
89,이웃사람,2012-08-22,18088462369,0.022000000000000002,18088462369,2434269,2434269,600,56752,한국,한국,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈,박인규,유재현,한성천,김미경,정인기,김기천,이장유","김윤진, 마동석, 천호진",2012,True,2434099
